ID,ladoMSANLEFT,ladoMSANRIGHT,ladocabeceraLEFT,ladocabeceraRIGHT,"Nombre del cable",Filamento
121,"CP 6413487 FIL 49
FCA FCA O051F SPL-1","MSAN 8410-POCT 1-2-1","MSAN 8410-POCT 1-2-1
FCA FCA O051F SPL-1","CP 6413487 FIL 49",6413487,49
122,"CP 6413487 FIL 50
FCA FCA O051F SPL-2","MSAN 8410-POCT 1-2-2","MSAN 8410-POCT 1-2-2
FCA FCA O051F SPL-2","CP 6413487 FIL 50",6413487,50
123,"CP 6413487 FIL 51
FCA FCA O051F SPL-3","MSAN 8410-POCT 1-2-3","MSAN 8410-POCT 1-2-3
FCA FCA O051F SPL-3","CP 6413487 FIL 51",6413487,51
124,"CP 6413487 FIL 52
FCA FCA O051F SPL-4","MSAN 8410-POCT 1-2-4","MSAN 8410-POCT 1-2-4
FCA FCA O051F SPL-4","CP 6413487 FIL 52",6413487,52
125,"CP 6413487 FIL 53
FCA FCA O051F SPL-5","MSAN 8410-POCT 1-2-5","MSAN 8410-POCT 1-2-5
FCA FCA O051F SPL-5","CP 6413487 FIL 53",6413487,53
126,"CP 6413487 FIL 54
FCA FCA O051F SPL-6","MSAN 8410-POCT 1-2-6","MSAN 8410-POCT 1-2-6
FCA FCA O051F SPL-6","CP 6413487 FIL 54",6413487,54
127,"CP 6413368 FIL 31
FCA OS05 SPL-101","MSAN 8413-OSRN 1-4-1","MSAN 8413-OSRN 1-4-1
FCA OS05 SPL-101","CP 6413368 FIL 31",6413368,31
128,"FOT T/N LUNN FIL 13
FCA O056F SPL-1","MSAN 8414-LUNN 1-1-1","MSAN 8414-LUNN 1-1-1
FCA O056F SPL-1","FOT T/N LUNN FIL 13","T/N LUNN",13
129,"FOT T/N LUNN FIL 14
FCA O056F SPL-1","MSAN 8414-LUNN 1-1-2","MSAN 8414-LUNN 1-1-2
FCA O056F SPL-1","FOT T/N LUNN FIL 14","T/N LUNN",14
130,"FOT T/N LUNN FIL 15
FCA O056F SPL-3","MSAN 8414-LUNN 1-1-3","MSAN 8414-LUNN 1-1-3
FCA O056F SPL-3","FOT T/N LUNN FIL 15","T/N LUNN",15
131,"FOT T/N LUNN FIL 16
FCA O056F SPL-4","MSAN 8414-LUNN 1-2-15","MSAN 8414-LUNN 1-2-15
FCA O056F SPL-4","FOT T/N LUNN FIL 16","T/N LUNN",16
